unit,unit_name,lesson,scene_idx,scene_id,scene_title,opener_jp,opener_zh,speaker,abc_guide,a_jp,a_zh,a_note,b_jp,b_zh,b_note,c_jp,c_zh,c_note
1,第1单元,2,1,l2_dlg_1,家族の写真,李さん、それは 何ですか。,李小姐，那是什么？,李,「家族の写真」（家人的照片）· 指示語 · これ/それ/あれ · 李应答。A＝课文「これは 私の 家族の 写真です。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,これは 私の 家族の 写真です。,这是我家人的照片。,A 标准答（李）：「家族の写真」· これ＋の＋名词。向同事介绍随身照片用 A。,家族の 写真です。,是家人的照片。,B 省略「これは私の」：对方已看见照片、节奏快时用。,はい、これは 家族の 写真です。,是的，这是家人的照片。,C 先「はい」再说明：想明确肯定、稍郑重时用。
1,第1单元,2,2,l2_dlg_2,家族の写真,これは 私の 家族の 写真です。,这是我家人的照片。,小野,「家族の写真」（家人的照片）· 指示語 · これ/それ/あれ · 小野应答。A＝课文「この 方は どなたですか。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,この 方は どなたですか。,这位是谁？,A 标准答（小野）：「家族の写真」· 课文标准：この方＋どなた（礼貌）。职场、对客户用 A。,この 人は だれですか。,这个人是谁？,B 用「この人・だれ」：同事、关系近、语气轻松时用。,こちらの 方は どなたでしょうか。,这位是哪一位？,C 更郑重：「こちらの方」「でしょうか」；对上級或正式场合用。
1,第1单元,2,3,l2_dlg_3,家族の写真,この 方は どなたですか。,这位是谁？,李,「家族の写真」（家人的照片）· 指示語 · これ/それ/あれ · 李应答。A＝课文「私の 父です。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,私の 父です。,是我父亲。,A 标准答（李）：「家族の写真」· 私の＋亲属名词。直接指认用 A。,父です。,是父亲。,B 更短：前文已说「私の」语境，省略重复时用。,こちらが 父です。,这位是父亲。,C 用「こちらが」：强调眼前这位、略礼貌时用。
1,第1单元,2,4,l2_dlg_4,家族の写真,私の 父です。,是我父亲。,小野,「家族の写真」（家人的照片）· 指示語 · これ/それ/あれ · 小野应答。A＝课文「お父さんは おいくつですか。」；B＝同场景口语/缩短；C＝更礼貌或郑重。 小野问年龄。,お父さんは おいくつですか。,您父亲多大岁数？,A 标准答（小野）：「家族の写真」· お父さん＋おいくつ。谈对方家人用 A。,お父様は 何歳ですか。,令尊多大年纪？,B 更正式：「お父様」「何歳」；对客户、上级家属用。,父は おいくつですか。,父亲多大？,C 省略「お」：双方已很熟、同事闲聊时可听，课堂仍以 A 为准。
1,第1单元,2,5,l2_dlg_5,家族の写真,お父さんは おいくつですか。,您父亲多大岁数？,李,「家族の写真」（家人的照片）· 指示語 · これ/それ/あれ · 李应答。A＝课文「五十八歳です。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,五十八歳です。,五十八岁。,A 标准答（李）：「家族の写真」· 数字＋歳です。标准答用 A。,五十八歳に なります。,五十八岁。,B 用「になります」：稍客气陈述年龄；对长辈转述时用。,今は 五十八歳です。,现在是五十八岁。,C 加「今は」：强调「目前」、避免听成别的年纪时用。
1,第1单元,2,6,l2_dlg_6,家族の写真,五十八歳です。,五十八岁。,小野,「家族の写真」（家人的照片）· 指示語 · これ/それ/あれ · 小野应答。A＝课文「そうですか。じゃ、これは？」；B＝同场景口语/缩短；C＝更礼貌或郑重。,そうですか。じゃ、これは？,是吗。那么，这是？,A 标准答（小野）：「家族の写真」· そうですか＋じゃ＋これは。自然接话用 A。,なるほど。これは 何ですか。,原来如此。这是什么？,B 用「なるほど」：表示理解后再问；同事闲聊可用。,そうですか。では、こちらは？,是吗。那么，这位是？,C 「では」「こちら」稍正式；对客户或礼貌场合用。
1,第1单元,2,7,l2_dlg_7,家族の写真,そうですか。じゃ、これは？,是吗。那么，这是？,李,「家族の写真」（家人的照片）· 指示語 · これ/それ/あれ · 李应答。A＝课文「それも 父です。若い 時の 写真…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,それも 父です。若い 時の 写真です。,那也是父亲。年轻时的照片。,A 标准答（李）：「家族の写真」· それも＋若い時。教材主线用 A。,同じ 父です。若い 頃の 写真です。,是同一位父亲。年轻时的照片。,B 用「同じ」：强调同一人；对方疑惑「是不是另一个人」时用。,はい、それも 父で、若かった 頃の 写真です。,是的，那也是父亲，是年轻时的照片。,C 一句说完：想减少断句、语气更完整时用。
1,第1单元,2,8,l2_dlg_8,家族の写真,それも 父です。若い 時の 写真です。,那也是父亲。年轻时的照片。,小野,「家族の写真」（家人的照片）· 指示語 · これ/それ/あれ · 小野应答。A＝课文「えっ、同じ 方ですか。雰囲気が …」；B＝同场景口语/缩短；C＝更礼貌或郑重。,えっ、同じ 方ですか。雰囲気が 違いますね。,啊，是同一个人吗。气质不一样呢。,A 标准答（小野）：「家族の写真」· えっ＋同じ方＋雰囲気。自然反应用 A。,同じ 人ですか。全然 違いますね。,是同一个人吗。完全不一样呢。,B 口语「全然違う」：同事、语气轻松时用。,まあ、同じ 方でしょうか。印象が 違いますね。,嗯，是同一位吧。印象不一样呢。,C 委婉「でしょうか」「印象」：不想太断定、礼貌时用。
1,第1单元,2,9,l2_dlg_9,家族の写真,えっ、同じ 方ですか。雰囲気が 違いますね。,啊，是同一个人吗。气质不一样呢。,李,「家族の写真」（家人的照片）· 指示語 · これ/それ/あれ · 李应答。A＝课文「はい。この 写真は 二十歳の 時…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,はい。この 写真は 二十歳の 時の 父です。,是的。这张照片是二十岁时的父亲。,A 标准答（李）：「家族の写真」· この写真は…時の父。标准说明用 A。,はい、二十歳の ときです。,是的，是二十岁的时候。,B 较短：重点在年龄；对方已懂「父亲」时可省略后半。,ええ、父が 二十歳の ときの 写真です。,嗯，是父亲二十岁时的照片。,C 主语在前「父が」：叙述更完整、稍郑重时用。
1,第1单元,2,10,l2_dlg_10,家族の写真,はい。この 写真は 二十歳の 時の 父です。,是的。这张照片是二十岁时的父亲。,小野,「家族の写真」（家人的照片）· 指示語 · これ/それ/あれ · 小野应答。A＝课文「あれは どなたの 写真ですか。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,あれは どなたの 写真ですか。,那是谁的照片？,A 标准答（小野）：「家族の写真」· 课文：あれ＋どなたの。离双方都远时用 A。,あれは だれの 写真ですか。,那是谁的照片？,B 用「だれ」：同事、非正式场合可用。,あちらは どなたの 写真でしょうか。,那边是谁的照片呢？,C 「あちら」「でしょうか」：更礼貌、对客户用。
1,第1单元,2,11,l2_dlg_11,家族の写真,あれは どなたの 写真ですか。,那是谁的照片？,李,「家族の写真」（家人的照片）· 指示語 · これ/それ/あれ · 李应答。A＝课文「私の 母です。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,私の 母です。,是我母亲。,A 标准答（李）：「家族の写真」· 课文原句。与「私の父です」同一结构，用 A。,母です。,是母亲。,B 省略「私の」：语境已清楚时用。,こちらが 母です。,这位是母亲。,C 「こちらが」：礼貌指认时用。
1,第1单元,2,12,l2_dlg_12,家族の写真,私の 母です。,是我母亲。,小野,「家族の写真」（家人的照片）· 指示語 · これ/それ/あれ · 小野应答。A＝课文「優しそうな 方ですね。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,優しそうな 方ですね。,看上去是很和蔼的人。,A 标准答（小野）：「家族の写真」· 优しそうな方ですね。标准恭维用 A。,いい 笑顔ですね。,笑容很好呢。,B 换角度称赞：不想重复「優しそう」、更具体时用。,とても 優しそうな 方ですね。,看上去是非常和蔼的人。,C 加「とても」：强调、更热情时用。
1,第1单元,2,13,l2_dlg_13,家族の写真,優しそうな 方ですね。,看上去是很和蔼的人。,李,「家族の写真」（家人的照片）· 指示語 · これ/それ/あれ · 李应答。A＝课文「ありがとうございます。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,ありがとうございます。,谢谢。,A 标准答（李）：「家族の写真」· 课文标准感谢。接受称赞后用 A。,どうも ありがとうございます。,非常感谢。,B 加「どうも」：更强调谢意时用。,いえ、こちらこそ ありがとうございます。,不，我才要谢谢您。,C 回赠式感谢：想同时夸对方、更客气时用（非课文原句）。
1,第1单元,3,1,l3_dlg_1,ホテルの周辺,李さん、ここは あなたの ホテルですか。,李小姐，这是您的酒店吗？,李,「ホテルの周辺」（酒店周边）· 場所 · ここ/そこ/あそこ · 李应答。A＝课文「はい、そうです。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,はい、そうです。,是的。,A 标准答（李）：「ホテルの周辺」· 肯定「ここはホテル」。标准答用 A。,はい、ここです。,是的，就是这里。,B 补「ここです」：想明确地点、避免只听「はい」时用。,ええ、そうです。こちらが ホテルです。,嗯，是的。这边就是酒店。,C 更完整：对司机或多人说明时用。
1,第1单元,3,2,l3_dlg_2,ホテルの周辺,はい、そうです。,是的。,小野,「ホテルの周辺」（酒店周边）· 場所 · ここ/そこ/あそこ · 小野应答。A＝课文「あそこが 公園です。とても きれ…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,あそこが 公園です。とても きれいですよ。,那边是公园。很漂亮哦。,A 标准答（小野）：「ホテルの周辺」· あそこ＋形容詞よ。导游式介绍用 A。,公園は あそこです。きれいですよ。,公园在那边。很漂亮哦。,B 主语在前：强调「公园」话题时用。,あちらが 公園で、とても きれいな 公園です。,那边是公园，是非常漂亮的公园。,C 更郑重：对客户、正式介绍时用。
1,第1单元,3,3,l3_dlg_3,ホテルの周辺,あそこが 公園です。とても きれいですよ。,那边是公园。很漂亮哦。,李,「ホテルの周辺」（酒店周边）· 場所 · ここ/そこ/あそこ · 李应答。A＝课文「そうですか。あの 赤い 建物は …」；B＝同场景口语/缩短；C＝更礼貌或郑重。,そうですか。あの 赤い 建物は 何ですか。,是吗。那座红色的建筑是什么？,A 标准答（李）：「ホテルの周辺」· そうですか＋あの建物。标准问法用 A。,あの 建物は 何ですか。,那座建筑是什么？,B 省略「そうですか」：已看过公园、直接追问时用。,すみません、あの 赤い 建物は 何でしょうか。,不好意思，那座红色建筑是什么呢？,C 加「すみません」「でしょうか」：更礼貌时用。
1,第1单元,3,4,l3_dlg_4,ホテルの周辺,そうですか。あの 赤い 建物は 何ですか。,是吗。那座红色的建筑是什么？,小野,「ホテルの周辺」（酒店周边）· 場所 · ここ/そこ/あそこ · 小野应答。A＝课文「あれは 駅です。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,あれは 駅です。,那是车站。,A 标准答（小野）：「ホテルの周辺」· 课文：あれは＋名词。离双方都远用 A。,駅です。あれです。,是车站。就是那个。,B 拆两句：强调「就是那个」、口语时用。,あちらが 駅です。,那边是车站。,C 「あちら」：稍礼貌、对客户用。
1,第1单元,3,5,l3_dlg_5,ホテルの周辺,あれは 駅です。,那是车站。,李,「ホテルの周辺」（酒店周边）· 場所 · ここ/そこ/あそこ · 李应答。A＝课文「じゃ、コンビニは どこですか。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,じゃ、コンビニは どこですか。,那么，便利店在哪儿？,A 标准答（李）：「ホテルの周辺」· 课文：じゃ＋どこですか。接上文自然过渡用 A。,コンビニは どこですか。,便利店在哪儿？,B 更短：已说过「じゃ」语境、直接问时用。,すみません、コンビニは どちらですか。,不好意思，便利店在哪边？,C 「どちら」：更礼貌、对陌生人问路时用。
1,第1单元,3,6,l3_dlg_6,ホテルの周辺,じゃ、コンビニは どこですか。,那么，便利店在哪儿？,小野,「ホテルの周辺」（酒店周边）· 場所 · ここ/そこ/あそこ · 小野应答。A＝课文「コンビニは あそこです。ホテルの…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,コンビニは あそこです。ホテルの 隣です。,便利店在那边。在酒店旁边。,A 标准答（小野）：「ホテルの周辺」· あそこ＋隣。标准指路用 A。,あそこです。ホテルの となりです。,在那边。在酒店旁边。,B 用「となり」：口语同义；注意「隣」为课文词。,あちらの コンビニで、おホテルの すぐ 隣です。,便利店在那边，就在酒店紧旁边。,C 更详细礼貌：对客人、想强调「很近」时用。
1,第1单元,3,7,l3_dlg_7,ホテルの周辺,コンビニは あそこです。ホテルの 隣です。,便利店在那边。在酒店旁边。,李,「ホテルの周辺」（酒店周边）· 場所 · ここ/そこ/あそこ · 李应答。A＝课文「銀行は どこに ありますか。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,銀行は どこに ありますか。,银行在哪儿？,A 标准答（李）：「ホテルの周辺」· 课文：どこにありますか（存在场所）。用 A。,銀行は どこですか。,银行在哪儿？,B 用「どこですか」：口语常混用；课堂区分に/あります用 A。,銀行は どちらに ありますでしょうか。,银行在哪边呢？,C 更礼貌：对客户、正式问路用。
1,第1单元,3,8,l3_dlg_8,ホテルの周辺,銀行は どこに ありますか。,银行在哪儿？,小野,「ホテルの周辺」（酒店周边）· 場所 · ここ/そこ/あそこ · 小野应答。A＝课文「銀行は あちらの 交差点の 左で…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,銀行は あちらの 交差点の 左です。,银行在那边十字路口的左侧。,A 标准答（小野）：「ホテルの周辺」· あちら＋交差点の左。标准指路用 A。,あそこの 交差点の 左に あります。,在那边十字路口的左边。,B 用「あそこ」「にあります」：强调存在位置时用。,銀行は あちら、交差点を 左に 曲がった ところです。,银行在那边，十字路口左转的地方。,C 动线说明：想教「怎么走」、不只指方向时用。
1,第1单元,3,9,l3_dlg_9,ホテルの周辺,銀行は あちらの 交差点の 左です。,银行在那边十字路口的左侧。,李,「ホテルの周辺」（酒店周边）· 場所 · ここ/そこ/あそこ · 李应答。A＝课文「レストランは？」；B＝同场景口语/缩短；C＝更礼貌或郑重。,レストランは？,餐厅呢？,A 标准答（李）：「ホテルの周辺」· 课文省略句：前文已问「どこ」、只换主题用 A。,レストランは どこですか。,餐厅在哪儿？,B 完整问句：怕对方听不懂省略时用。,レストランは どちらに ありますか。,餐厅在哪边？,C 礼貌完整：对客户、正式场合用。
1,第1单元,3,10,l3_dlg_10,ホテルの周辺,レストランは？,餐厅呢？,小野,「ホテルの周辺」（酒店周边）· 場所 · ここ/そこ/あそこ · 小野应答。A＝课文「レストランは デパートの 中に …」；B＝同场景口语/缩短；C＝更礼貌或郑重。,レストランは デパートの 中に あります。,餐厅在百货商店里面。,A 标准答（小野）：「ホテルの周辺」· 课文：の中にあります。标准答用 A。,デパートの 中です。,在百货里面。,B 更短：对方已知是餐厅、只补地点时用。,あちらの デパートの 中に レストランが あります。,那边百货里面有餐厅。,C 主语「レストランが」：叙述更完整、导游式用。
1,第1单元,3,11,l3_dlg_11,ホテルの周辺,レストランは デパートの 中に あります。,餐厅在百货商店里面。,李,「ホテルの周辺」（酒店周边）· 場所 · ここ/そこ/あそこ · 李应答。A＝课文「小野さん、どうも ありがとうござ…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,小野さん、どうも ありがとうございます。,小野，非常感谢。,A 标准答（李）：「ホテルの周辺」· 课文：称呼＋どうもありがとう。标准用 A。,ありがとうございます。,谢谢。,B 省略称呼：已面对面、简短道谢时用。,本当に ありがとうございます。とても 助かりました。,真的非常感谢。帮了大忙。,C 加强：对方花时间陪逛、想表达更深谢意时用。
1,第1单元,3,12,l3_dlg_12,ホテルの周辺,小野さん、どうも ありがとうございます。,小野，非常感谢。,小野,「ホテルの周辺」（酒店周边）· 場所 · ここ/そこ/あそこ · 小野应答。A＝课文「いいえ。どういたしまして。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,いいえ。どういたしまして。,不客气。,A 标准答（小野）：「ホテルの周辺」· 课文原句。对「ありがとう」标准回应用 A。,いえいえ、どういたしまして。,不不，别客气。,B 加「いえいえ」：更口语、亲切时用。,とんでも ありません。お役に 立てて よかったです。,哪里的话。能帮到您就好。,C 更郑重：对客户、商务陪同结束时用。
1,第1单元,4,1,l4_dlg_1,部屋の様子,李さん、部屋は どうですか。,李小姐，房间怎么样？,李,「部屋の様子」（房间的样子）· 存在 · あります/います · 李应答。A＝课文「とても きれいです。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,とても きれいです。,非常漂亮。,A 标准答（李）：「部屋の様子」· 课文：とても＋い形容词。称赞房间用 A。,きれいですね。,很漂亮呢。,B 省略「とても」：语气稍轻、日常恭维用。,とても きれいで、気に入りました。,非常漂亮，我很喜欢。,C 加「気に入りました」：想明确表达满意时用。
1,第1单元,4,2,l4_dlg_2,部屋の様子,とても きれいです。,非常漂亮。,小野,「部屋の様子」（房间的样子）· 存在 · あります/います · 小野应答。A＝课文「何が ありますか。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,何が ありますか。,有什么？,A 标准答（小野）：「部屋の様子」· 何が＋ありますか。存在询问用 A。,部屋に 何が ありますか。,房间里有什么？,B 加「部屋に」：主题更清楚时用。,どんな ものが ありますか。,有些什么东西？,C 「どんなもの」：想了解概况、语气柔和时用。
1,第1单元,4,3,l4_dlg_3,部屋の様子,何が ありますか。,有什么？,李,「部屋の様子」（房间的样子）· 存在 · あります/います · 李应答。A＝课文「机と 椅子と ベッドが あります…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,机と 椅子と ベッドが あります。机の上に パソコンや 本などが あります。,有桌子、椅子和床。桌子上有电脑、书之类的东西。,A 标准答（李）：「部屋の様子」· と列举＋や＋など。标准介绍用 A。,机と 椅子と ベッドです。机の上に パソコンが あります。,有桌子、椅子和床。桌子上有电脑。,B 略「など」：只举一例、简短说明时用。,家具は 机と 椅子と ベッドで、机の上には 本や パソコンなどが あります。,家具有桌子、椅子和床，桌子上有书和电脑等。,C 加「家具は」：更完整、对客户介绍房间时用。
1,第1单元,4,4,l4_dlg_4,部屋の様子,机と 椅子と ベッドが あります。机の上に パソコンや 本などが あります。,有桌子、椅子和床。桌子上有电脑、书之类的东西。,小野,「部屋の様子」（房间的样子）· 存在 · あります/います · 小野应答。A＝课文「窓の 隣に 何が ありますか。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,窓の 隣に 何が ありますか。,窗户旁边有什么？,A 标准答（小野）：「部屋の様子」· 课文：隣に何が。位置询问用 A。,窓の そばに 何ですか。,窗户旁边是什么？,B 用「そば」：口语近义；课堂位置词以「隣」为准。,窓の 横に 何か ありますか。,窗户横侧有什么吗？,C 「横に何か」：稍随意、同事闲聊可用。
1,第1单元,4,5,l4_dlg_5,部屋の様子,窓の 隣に 何が ありますか。,窗户旁边有什么？,李,「部屋の様子」（房间的样子）· 存在 · あります/います · 李应答。A＝课文「本棚が あります。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,本棚が あります。,有书架。,A 标准答（李）：「部屋の様子」· 课文原句。存在回答用 A。,本棚です。,是书架。,B 用「です」：名词谓语肯定；与「があります」交替练习。,はい、本棚が あります。,有的，有书架。,C 先「はい」：明确肯定存在时用。
1,第1单元,4,6,l4_dlg_6,部屋の様子,本棚が あります。,有书架。,小野,「部屋の様子」（房间的样子）· 存在 · あります/います · 小野应答。A＝课文「ベッドの 下に 何か ありますか…」；B＝同场景口语/缩短；C＝更礼貌或郑重。,ベッドの 下に 何か ありますか。,床底下有什么吗？,A 标准答（小野）：「部屋の様子」· 课文：何かありますか（不确定有无）。用 A。,ベッドの 下に 何が ありますか。,床底下有什么？,B 用「何が」：假定可能有；语气略不同。,ベッドの 下、何か 入っていますか。,床底下，放了什么东西吗？,C 「入っていますか」：口语、生活化时用。
1,第1单元,4,7,l4_dlg_7,部屋の様子,ベッドの 下に 何か ありますか。,床底下有什么吗？,李,「部屋の様子」（房间的样子）· 存在 · あります/います · 李应答。A＝课文「はい、靴が あります。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,はい、靴が あります。,有，有鞋子。,A 标准答（李）：「部屋の様子」· 课文：はい＋があります。肯定存在用 A。,靴が あります。,有鞋子。,B 省略「はい」：对方已看到、直接说时用。,ええ、スリッパと 靴が あります。,嗯，有拖鞋和鞋子。,C 多列举：想练「と」、说明更具体时用。
1,第1单元,4,8,l4_dlg_8,部屋の様子,はい、靴が あります。,有，有鞋子。,小野,「部屋の様子」（房间的样子）· 存在 · あります/います · 小野应答。A＝课文「テレビは どこに ありますか。」；B＝同场景口语/缩短；C＝更礼貌或郑重。,テレビは どこに ありますか。,电视在哪儿？,A 标准答（小野）：「部屋の様子」· 课文：どこにありますか。标准问法用 A。,テレビは どこですか。,电视在哪儿？,B 口语「どこですか」：同事闲聊可用。,テレビは どちらに ありますでしょうか。,电视在哪边呢？,C 更礼貌：对客户、正式场合用。
